date_local,daily_avg,n_obs,n_sites
1991-01-31,56,1,1
1991-02-01,53.352941,1,1
1991-02-02,46.416667,1,1
1991-02-03,36.541667,1,1
1991-02-04,28.875,1,1
1991-02-05,29.666667,1,1
1991-02-06,30.434783,1,1
1991-02-07,51.294118,1,1
1991-02-08,58.083333,1,1
1991-02-09,34.666667,1,1
1991-02-10,31.041667,1,1
1991-02-11,32.416667,1,1
1991-02-12,36.708333,1,1
1991-02-13,25.5561595,2,2
1991-02-14,23.4375,2,2
1991-02-15,42.5625,2,2
1991-02-16,42.458333499999995,2,2
1991-02-17,24.395833,2,2
1991-02-18,23.5,2,2
1991-02-19,27.604167,2,2
1991-02-20,26.416666499999998,2,2
1991-02-21,32.645833,2,2
1991-02-22,41.296195499999996,2,2
1991-02-23,29.833333,2,2
1991-02-24,20.5113635,2,2
1991-02-25,29.0625,2,2
1991-02-26,29.6875,2,2
1991-02-27,36.833333,1,1
1991-02-28,42.166667,1,1
1991-03-01,26.041667,1,1
1991-03-02,30.208333,1,1
1991-03-03,19.083333,1,1
1991-03-04,16.125,1,1
1991-03-05,24.708333,1,1
1991-03-06,24.291667,1,1
1991-03-07,29.958333,1,1
1991-03-08,26.541667,1,1
1991-03-09,16.875,1,1
1991-03-10,7,1,1
1991-03-11,14.291667,1,1
1991-03-12,14.5072465,2,2
1991-03-13,26.958333500000002,2,2
1991-03-14,19.5625,2,2
1991-03-15,21.638158,2,2
1991-03-16,24.143939000000003,2,2
1991-03-17,25.5914855,2,2
1991-03-18,28.433877000000003,2,2
1991-03-19,23.3607455,2,2
1991-03-20,15.809288500000001,2,2
1991-03-21,27.329193,2,2
1991-03-22,17.934783,2,2
1991-03-23,21.3695655,2,2
1991-03-24,23.3043475,2,2
1991-03-25,26.915114,2,2
1991-03-26,15.1699605,2,2
1991-03-27,16.8881985,2,2
1991-03-28,28.846790499999997,2,2
1991-03-29,23.413043,2,2
1991-03-30,24.826087,2,2
1991-03-31,23.9347825,2,2
1991-04-01,24.0434785,2,2
1991-04-02,20.1136365,2,2
1991-04-03,35.043478,2,2
1991-04-04,28.9565215,2,2
1991-04-05,35.108695499999996,2,2
1991-04-06,29.5,2,2
1991-04-07,11.717391500000002,2,2
1991-04-08,16.7807485,2,2
1991-04-09,24.0217395,2,2
1991-04-10,25.370843999999998,2,2
1991-04-11,15.255682,2,2
